Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_avaliacao,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
aman-aplan,5,29,9651599436,v|^[mn]|^r|^[h-k]|^\w[de],v|^[mn]|r|[h-k]|^\w[de],12,33,486076,0,59943,68780,true
triples,5,14,3404588599,0^|0[012]|5[0-8]+$,0^|0[012]|5[0-8]+$,12,33,349871,0,245715,375953,true
ranges,5,16,6361187489,[a-f][a-e]\w[a-f],[a-f][a-e]\w[a-f],21,42,73548,0,17792,182913,true
triples,5,15,2330977742,18^3|10|24|0[012]|[12]7|2[78]$,18^3|10|24|0[012]|[12]7|2[78]$,12,33,512180,0,120344,142143,true
ranges,5,17,2805026820,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,472798,0,147608,176823,true
prime,5,1,2967301147,^xxx(|x*)\1$,^xxx(|x*)\1$,13,34,426689,0,345690,499440,true
powers,5,10,8657690939,^xxxx$|\b[^]x?$,^xxxx$|\b[^]x?$,3,14,221223,0,209271,642025,true
triples,5,16,6361187489,^0|0[012]|[1-9]5[1-8][0-8],^0|0[012]|[1-9]5[1-8][0-8],13,34,365451,0,270823,320985,true
ranges,5,18,4323456912,[a-f][a-f]\w[a-f]$,[a-f][a-f]\w[a-f]$,21,42,193828,0,49311,217758,true
ranges,5,19,8361101999,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,109851,0,27038,196274,true
triples,5,17,2805026820,09$|59^7|\w5[1-7]\B|60$|[2-7][2-6]^7|[01]2|[56]$,09|59^7|\w5[1-7]\B|60|[2-7][2-6]^7|[01]2|[56]$,14,35,439676,1,153953,247422,true
ranges,5,20,9935136846,dbff|^[a-f]+$,dbff|^[a-f]+$,21,42,385580,0,144492,198711,true
triples,5,18,4323456912,187|4[0-7]2|06|^30|5[1-5][0-7]|0[^5]5|[0-8]0[0-6]$,187|4[0-7]2|06|^30|5[1-5][0-7]|0[^5]5|[0-8]0[0-6]$,16,37,375810,0,98347,158354,true
prime,5,1,5600405384,^(x*?x?)\1xxx$,^(x*?x?)\1xxx$,13,34,330819,0,297629,504947,true
triples,5,19,8361101999,67^2|\B[0-4][2-5][234]|8[^]3|[0-8][0-7][0-6]$,67^2|\B[0-4][2-5][234]|8[^]3|[0-8][0-7][0-6]$,11,32,115405,0,23295,196498,true
ranges,5,21,5217407358,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,459764,0,305581,330911,true
powers,5,11,9696640194,^xx?$,^xx?$,2,13,181429,0,188334,801892,true
triples,5,20,9935136846,0[^1]09|4\w[0-4]|6^|[0-7][0-7][0-6]$,0{0}[^1]09|{0}4\w[0-4]|6^|[0-7][0-7][0-6]$,12,33,474040,0,135263,207615,true
ranges,5,22,5619256299,[a-f][a-f]\w[a-f]$,[a-f][a-f]\w[a-f]$,21,42,160696,0,68349,215661,true
prime,5,2,1632819610,(^x*x?)\1xxx$,(^x*x?)\#xxx$,13,34,478654,1,375992,516526,true
triples,5,21,5217407358,5[0-7][0-8]|0[012],5[0-7][0-8]|0[012],11,32,512954,0,187913,201492,true
ranges,5,23,4560422870,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,229946,0,89573,214006,true
triples,5,22,5619256299,5[0-7][0-8]|0[012],5[0-7][0-8]|0[012],11,32,486986,1,134394,166419,true
triples,5,23,4560422870,00|[1-8][45][2-8][0-6]|[1-9]1[^][4-7]|^7$,00|[1-8][45][2-8][0-6]|[1-9]1.[4-7]|^7$,14,35,527344,0,122264,150179,true
ranges,5,24,5236888092,f[^]uh|\b[a-f]+$,f.uh|\b[a-f]+$,21,42,310886,0,97927,206255,true
powers,5,12,6621545651,^xx([^]*x|$)\1\b,^xx([^]*x|$)\#\b,6,17,219616,0,223543,663653,true
prime,5,3,1412034944,^xxx(x*?)\1$,^xxx(x*?)\1$,13,34,508255,0,413625,473918,true
ranges,5,25,1337360711,fy^cf|\b[a-f]+$,fy^cf|\b{0}[a-f]+$,21,42,136229,0,120862,274229,true
ranges,5,26,7659837985,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,524726,0,168621,185776,true
