Nome,Depth,i,seed,regex,Melhor_bartoli,Melhor_nosso,Tempo,Tempo_total,Timed_out
balance,5,24,1764028593,.(<)\1>(.)>.<\1.,24,56,1301699297,49987,false
balance,5,25,3857069214,([^]<<).?.<?.>>\1.,25,57,35311129486,49721,false
abba,5,15,2738495106,z|mi.|^v|s\1t[^c]|.(hi|u),19,41,26349617220,54409,false
abba,5,16,1069782534,[^c]z|h|mf^a|.u|t$,17,39,56240936580,38893,false
balance,5,26,9125784630,<<.>[^<]>.(.)\1.,25,57,45948936689,52346,false
abba,5,17,3018795246,[^t]z|st|.u|^v|ca,18,40,50935931080,37096,false
balance,5,27,7914823056,>?((.>.<?\1(>()?).?>\1?)|^<>\1)$,24,56,29385228033,50674,false
abba,5,18,1736058429,[^c](z|h|u)|it\1,18,40,59188741986,42721,false
balance,5,28,1258360497,<<.>()?(\1(>>).\1?)<<\1.,25,57,650374844,45737,false
abba,5,19,6087432195,it|z|[^c](h|u),18,40,46153332049,40877,false
balance,5,29,7965023841,>>.?<.?[^<]?<(<).>>.,24,56,1210849766,48065,false
abba,5,20,4925731068,[^c]\1(z|ers|u|h|t$),18,40,15064210235,44690,false
powers,5,1,4105328976,^(xx?)\1?$,3,14,36406025360,40611,false
abba,5,21,3486027915,z|nv|[^c]h|.u|t$,18,40,18404513141,41440,false
powers,5,1,6370951248,(^x?x?x?)\1xx$,3,14,29052219142,41658,false
abba,5,22,6941372580,dcio|[^c\1va](e$|h)|u[^n]x?(|(gzeze^p|d$))\1,18,40,55052145283,50174,false
powers,5,2,9431657082,(^xx?x?x?)\1?$,3,14,44279731939,41877,false
abba,5,23,1068243795,[^c]\1(z|h|u|it|rh$),18,40,25497416735,41768,false
powers,5,3,1874029365,(xxxxxxx)\1|^x?x$,3,14,398512984,44096,false
abba,5,24,1764028593,z|te|.([^c]h|u)|.(e?t|l|f^)$\1,19,41,30608621938,43642,false
powers,5,4,5691784320,^x?x$,2,13,24705016376,41408,false
abba,5,25,3857069214,^z|n|ph|.u|t$,17,39,34255722032,36799,false
powers,5,5,8392760514,^xx?$,2,13,17933812610,41892,false
abba,5,26,9125784630,^p|z|[^c](h|u)|^v|t$\1,19,41,58118839174,41596,false
powers,5,6,4612780539,^x?x$,2,13,46037429658,38721,false
abba,5,27,7914823056,z|tz|e$|[^c]\1(u|h|f^s),18,40,36859823532,41096,false
powers,5,7,8261384957,^xx?$,2,13,25647,39783,false
abba,5,28,1258360497,z|[^c](h|u)|it|^n$\1,18,40,292612156,44846,false
powers,5,8,2463075891,^x?x$,2,13,41552130017,42893,false
abba,5,29,7965023841,z|e\1^v|it|[^c](h|u),18,40,17289210126,34955,false
powers,5,9,9135874206,^(x?)x(x|\1)\1$,3,14,57112440643,42612,false
aman-aplan,5,1,4105328976,x|^k|^t|^r|v|[^n]d,13,34,57793242580,44346,false
powers,5,10,7095231486,^x?x(xxx[^]xxx|$)\1,3,14,38271324158,38721,false
aman-aplan,5,1,6370951248,[^u]x|^r|^t|ah|^k|v|d|(o)\1.$,15,36,1020468313,44768,false
powers,5,11,9842301657,^x?x$,2,13,25891720095,44252,false
aman-aplan,5,2,9431657082,x|tv^t|^t|k.|^r|v|d|oo,14,35,40355434673,51221,false
powers,5,12,2196735084,^xx?$,2,13,53809536142,40080,false
aman-aplan,5,3,1874029365,la|x|^k|^t|^r|d|v|(o)\1.$,15,36,16524515188,51721,false
powers,5,13,9067852413,^xx?$,2,13,17310010532,38361,false
powers,5,14,2405681973,^x$|(^xx?)\1$,3,14,32737324033,42549,false
aman-aplan,5,4,5691784320,[^]x|v|la|^t|^r|d|(o)\1.$,14,35,345772203,52253,false
powers,5,15,2738495106,^xx([^]xx|x|)\1$,3,14,53053739096,44455,false
aman-aplan,5,5,8392760514,x|^k|^r|d|v|^t|ll,13,34,21444214360,40111,false
aman-aplan,5,6,4612780539,ll|[^]oo|x|^t|^k|^r|v|x|d$,15,36,17815312094,43017,false
powers,5,16,1069782534,^xx[^]x$|^xx?$,3,14,53208946659,51971,false
aman-aplan,5,7,8261384957,x|la|oo|^k|^r|^t|d$,15,36,59175744893,45471,false
powers,5,17,3018795246,^xx?$,2,13,26149618032,44737,false
powers,5,18,1736058429,(^xx?)\1?$,3,14,47160933799,41736,false
aman-aplan,5,8,2463075891,[^e]ox|o|d$|^k|^t|^r,14,35,31947221626,53721,false
powers,5,19,6087432195,^x?x$,2,13,37862725110,40470,false
aman-aplan,5,9,9135874206,x|^k|oo|^r|^t|d$,14,35,1297688594,41440,false
powers,5,20,4925731068,x?(^x(x(|\1xx))?)\1?$,4,15,32316728861,51096,false
aman-aplan,5,10,7095231486,[^]x|^r|^k|^t|v|d|oo.$,14,35,12300010954,46549,false
powers,5,21,3486027915,^(xx?)\1?$,3,14,32599421657,43174,false
aman-aplan,5,11,9842301657,[^]x|oo|^k|^t|d$|^r,14,35,32222924283,46705,false
powers,5,22,6941372580,^x?x$,2,13,47002033767,42190,false
aman-aplan,5,12,2196735084,x|^k|^t|oo|^r|v|d,14,35,21231917001,48706,false
powers,5,23,1068243795,^xx([^]xx|x|)\1$,3,14,595193266,43987,false
aman-aplan,5,13,9067852413,x|oo[^t]|^t|v|d|^r|^k,14,35,30946925954,49971,false
powers,5,24,1764028593,^(x?)x(x|\1)\1$,3,14,1173786360,40690,false
aman-aplan,5,14,2405681973,x|^k|^t|^r|v|d|o^x|oo.$,14,35,54768840971,46627,false
powers,5,25,3857069214,^x?x$,2,13,59960144721,44737,false
aman-aplan,5,15,2738495106,x|^k|^t|^r|v|d|oo,14,35,15269011876,45455,false
powers,5,26,9125784630,^(x?)x(x|\1)\1$,3,14,59624941596,41924,false
aman-aplan,5,16,1069782534,[^]oo|x|^k|^t|^r|d$,14,35,32048929283,54893,false
powers,5,27,7914823056,^x?x$,2,13,44526630252,41408,false
powers,5,28,1258360497,^x?x$,2,13,17835614501,45737,false
aman-aplan,5,17,3018795246,[^]x|oo|^k|ed$|^m|^t|^r|c$,16,37,13880712063,54690,false
powers,5,29,7965023841,^(x?)x(\1|x)\1$,3,14,27766319595,41611,false
aman-aplan,5,18,1736058429,x|oo|^t|^r|v|d,13,34,33559922173,42908,false
long-count,5,1,4105328976,^ ,0,20,51270131814,36830,false
aman-aplan,5,19,6087432195,x|oo|^k|^t|^r|v|d,14,35,53713241815,46893,false
long-count,5,1,6370951248, $,0,20,38218823532,36783,false
aman-aplan,5,20,4925731068,x|oo|s^vx|^k|^r|^t|ah|d$|rum$,16,37,37978734549,54315,false
long-count,5,2,9431657082, $,0,20,38917624048,36752,false
long-count,5,3,1874029365,^ ,0,20,1157207047,36221,false
aman-aplan,5,21,3486027915,x|^k|^t|la|oo|^r|d$,15,36,17112912469,49502,false
long-count,5,4,5691784320,^ ,0,20,48358830579,37361,false
aman-aplan,5,22,6941372580,[^n]k|ex|^t|^r|ic|d$|oo,15,36,48951239924,50284,false
long-count,5,5,8392760514,0^,0,20,36632523157,38924,false
aman-aplan,5,23,1068243795,x|mu|^t|^k|^r|d$,13,34,31600523282,45143,false
long-count,5,6,4612780539,^ ,0,20,46048427923,35752,false
aman-aplan,5,24,1764028593,oo|^m|^r|^k|e.$,14,35,737814828,44252,false
long-count,5,7,8261384957,0^,0,20,29937817844,36783,false
