Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
aman-aplan,5,21,3486027915,u[^f]d|oe|[a-e]$|^[h-t][a-o],14,35,264521,49096,117038,true
ranges,1,1,4105328976,[a-f]\w[a-f][a-f]$,21,42,98602,21110,116334,true
triples,5,6,4612780539,^[2-9][0-4][2-9][2-5]|00|[0-3]4|7+$,14,35,575199,109256,114803,true
aman-aplan,5,22,6941372580,oa^a|m[h-k]|s[^a]x|^r|^t|oo|v|d,15,36,482008,85520,106881,true
ranges,1,1,6370951248,[a-f]\w[a-f][a-f]$,21,42,54241,10844,114240,true
triples,5,7,8261384957,^3|6[^]9|957|1*\B[1-5][345][1-8]|2[34]|6$,14,35,390833,83755,121474,true
powers,3,25,3857069214,^x?x$,2,13,376933,158054,285311,true
aman-aplan,5,23,1068243795,d$|o^e|[k-x][a-o][a-t]$,15,36,294635,50581,110444,true
ranges,1,2,9431657082,^[a-f][a-e]\w[a-f],21,42,544393,118678,128787,true
triples,5,8,2463075891,87$|[01]0|02|1^75|\B5[1-7][0-8],13,34,545026,111131,124335,true
aman-aplan,5,24,1764028593,x|^r|^t|^[i-n]|[a-d]$,14,35,222924,37767,105787,true
ranges,1,3,1874029365,^[a-f]*[a-f]$,21,42,107740,18766,112412,true
triples,5,9,9135874206,^0|[012]7|2\w9|[12][34],11,32,108552,19657,117366,true
aman-aplan,5,25,3857069214,[^]x|ol|^r|^t|^[i-n]|hal|[a-d]$,16,37,442973,80395,112834,true
ranges,1,4,5691784320,[a-f]\w[a-f][a-f]$,21,42,225786,39752,116475,true
powers,3,26,9125784630,^xx(x*)\1$,6,17,425762,272716,327765,true
triples,5,10,7095231486,[^9]36|^[3-9]\w[0-8][2-7][1-8]|6[0-5]*$,13,34,578602,112756,119006,true
aman-aplan,5,26,9125784630,^[i-n]x||^r|[a-d]$,12,33,137598,24392,149475,true
ranges,1,5,8392760514,[a-f]\w[a-f][a-f]$,21,42,287232,51252,113303,true
triples,5,11,9842301657,[34][^39][2-5]|[01]0[2-9]|[01]2$,14,35,536370,114599,128928,true
ranges,1,6,4612780539,^[a-f]*[a-f]$,21,42,316097,54565,103396,true
aman-aplan,5,27,7914823056,x|^t|^[i-n]|\br|[a-d]$,14,35,528429,101458,113646,true
ranges,1,7,8261384957,^[a-f][a-e]\w[a-f],21,42,344422,67598,110491,true
aman-aplan,5,28,1258360497,[^]x|v|d|^r|^t|^[h-k],12,33,447556,76036,104631,true
triples,5,12,2196735084,0[012]|[^2]5[1-7][0-8],12,33,289224,53206,141820,true
powers,3,27,7914823056,(^x*)\1$,6,17,127875,49299,299280,true
ranges,1,8,2463075891,^\w[a-f]*$,21,42,510334,95895,112724,true
aman-aplan,5,29,7965023841,^[^m]e|[a-o][k-v]\w[a-t]$,15,36,548936,106927,117708,true
triples,5,13,9067852413,^[0-4](\w|)0|[2-9][456][345],12,33,155406,29454,142319,true
ranges,1,9,9135874206,[a-f][a-e]\w[a-f],21,42,473302,87818,109928,true
prime,1,1,4105328976,^xxx(x*?)\1$,13,34,561369,126428,133819,true
triples,5,14,2405681973,23|2^|0[012]|289|4$|5[0-6][0-8],12,33,277318,60832,120194,true
ranges,1,10,7095231486,[a-f][a-f]\w[a-f]$,21,42,244622,48486,128022,true
powers,3,28,1258360497,(^x*)\1$,6,17,150741,132007,349486,true
prime,1,1,6370951248,x*^x(x*)?\1xx$,13,34,66779,14735,119678,true
triples,5,15,2738495106,^0|2[34]|9[01]|[0-3]7,12,33,69201,12688,115053,true
ranges,1,11,9842301657,[a-f][a-e]\w[a-f],21,42,249218,45471,112522,true
triples,5,16,1069782534,[01]0|[345][1-9][2-6][0-7]|7[45]\b,13,34,503522,98568,116944,true
prime,1,2,9431657082,x*^x(([^]x)*?\1x)?x\2?$,14,35,122901,34689,148258,true
ranges,1,12,2196735084,^[a-f][a-e]\w[a-f],21,42,140018,26251,116131,true
triples,5,17,3018795246,95|25^1|[0-3]7|0[012]|[3-6]5|[01]$,13,34,424987,84723,125974,true
prime,1,3,1874029365,(^x*x?)\1xxx$,13,34,50636,10453,118913,true
ranges,1,13,9067852413,^[a-f][a-e]\w[a-f],21,42,230352,48612,119724,true
prime,1,4,5691784320,^x([^]x)*xx$,13,34,562334,107475,114522,true
triples,5,18,1736058429,^\w4|[234][1-4][^6][0-7]|[0-6]0[0-6][2-5]*$,14,35,208638,40424,127146,true
ranges,1,14,2405681973,^[a-f][a-e]\w[a-f],21,42,178720,34751,121335,true
powers,3,29,7965023841,^x?x$,2,13,435044,446115,499493,true
prime,1,5,8392760514,^x?xx$,2,23,454156,90630,120584,true
triples,5,19,6087432195,^[2-7]1|4[789][2-6]|([0-7])\1[3-9],13,34,148155,27486,121568,true
ranges,1,15,2738495106,^[a-f][a-e]\w[a-f],21,42,165149,30626,115834,true
triples,5,20,4925731068,[^]5[0-7][0-8]|0[012],12,33,20402,4047,105553,true
prime,1,6,4612780539,(x)*^x?(x|\Bxx*)\2\b$,14,35,574272,132616,144258,true
ranges,1,16,1069782534,^[a-f][a-e]\w[a-f],21,42,14331,3000,106662,true
triples,5,21,3486027915,^3|730|4[2-8][2-6]|([0-7])\1[3-9],13,34,94632,18157,125194,true
prime,1,7,8261384957,^x(x*?)\1xx$,13,34,162934,37017,127256,true
ranges,1,17,3018795246,^[a-f][a-e]\w[a-f],21,42,320092,64707,115975,true
powers,5,1,4105328976,^x?x$,2,13,482783,253700,308342,true
triples,5,22,6941372580,49^6|[567][45]|2[234]|[01]0[2-9]|0[012]$,14,35,364260,76801,120756,true
ranges,1,18,1736058429,^[a-f]*[a-f]$,21,42,474438,95630,121459,true
triples,5,23,1068243795,^81|206|2[34]|[01]0|5[1-7][0-8]+$,14,35,197705,36611,120522,true
prime,1,8,2463075891,^xx(x*?)\1x$,13,34,468321,199587,225135,true
ranges,1,19,6087432195,^[a-f][a-e]\w[a-f],21,42,406442,74956,110661,true
triples,5,24,1764028593,^3|64|[012]4|0[0-5][0-5][2-9]|[567][0-5]$,13,34,235174,51627,133256,true
powers,5,1,6370951248,^x?x$,2,13,472162,264090,320843,true
prime,1,9,9135874206,^xx(x*?)\1x$,13,34,116943,24142,119756,true
ranges,1,20,4925731068,[a-f]\w[a-f][a-f]$,21,42,263367,45955,111537,true
triples,5,25,3857069214,5[0-7][0-8]|0[012],11,32,123764,24142,114881,true
ranges,1,21,3486027915,^[a-f][a-e]\w[a-f],21,42,553957,110241,118304,true
prime,1,10,7095231486,x^xxx|^x(x*?)(xx?)\1\2$,13,34,549874,113631,163196,true
triples,5,26,9125784630,5[1-7][0-8]|0[0-4]9|[0-8]0[67]|\b[3-6]\w[012],14,35,252977,46252,113115,true
ranges,1,22,6941372580,^[a-f][a-e]\w[a-f],21,42,323266,61488,127335,true
prime,1,11,9842301657,^xxx(x*)?\1$,13,34,148146,32392,119397,true
powers,5,2,9431657082,x*^(x*)\1\b$,6,17,14016,8813,294310,true
triples,5,27,7914823056,[^]4^0|[01]0[0-6]|72$|[1-8][1-7][34]|6$,14,35,307160,60660,119116,true
ranges,1,23,1068243795,\b[a-f]+$,21,42,89634,16188,114835,true
prime,1,12,2196735084,(x(xxx(xxxx)))\1\2\1,9,30,532077,106099,122099,true
triples,5,28,1258360497,895|0[012]|5[1-5][0-8],12,33,17325,3469,118444,true
