Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
triples,5,16,1069782534,[0-8][567][45]|1[^8]4|^0|[12][34],12,33,162383,-11141,60621,true
ranges,5,9,9135874206,[a-f][a-f][a-f][a-f]$,21,42,249410,-28785,54909,false
triples,5,17,3018795246,95|25^1|[0-3]7|0[012]|[3-6]5|[01]$,13,34,328581,-27314,61339,true
ranges,5,10,7095231486,[a-f][a-f][^][a-f]$,21,42,108078,-7246,45082,false
triples,5,18,1736058429,^[0-7]4|[0-4][1-4][789][0-8]|[0-3]0[0-6][2-9]?$,16,37,229588,-20353,62020,true
ranges,5,11,9842301657,^[a-f][a-e][a-f][a-f],21,42,365148,-27724,58158,false
ranges,5,12,2196735084,[a-f][a-f][a-f][a-f]$,21,42,164562,-11581,42671,false
triples,5,19,6087432195,[12]4|[01]0[0-6]|55|^40|[1-7]8[45][1-8][012]|7[0-6]$,15,36,547043,-49517,58343,false
triples,5,20,4925731068,0[012]|(3?)\1[3-9]5[0-8][0-7]|^8$,13,34,565655,-35240,38820,false
ranges,5,13,9067852413,^[a-f][a-e][a-f][a-f],21,42,241649,-17687,50468,false
triples,5,21,3486027915,^3|730|4[2-8][2-6]|([0-7])\1[3-9],13,34,73082,-5096,60012,true
ranges,5,14,2405681973,[a-f][a-e][a-f][a-f],21,42,130061,-8749,50904,false
triples,5,22,6941372580,^[0-4]9?0|[0-3]17|[1-7][45][1-8][0-6]|6$,14,35,215746,-15992,42976,false
ranges,5,15,2738495106,[a-f][a-f][a-f][a-f]$,21,42,278877,-23708,48660,false
triples,5,23,1068243795,00|4$|[0-7][2-8][2-6][345],14,35,416407,-26314,42487,false
ranges,5,16,1069782534,[^i][a-f][a-f][a-f],21,42,331598,-28392,45002,false
triples,5,24,1764028593,[45]4|4[789][2-6]|[0-9]([0-7])\1[3-9],13,34,501093,-46815,56503,false
ranges,5,17,3018795246,^[a-f][a-f][a-f][a-f],21,42,512377,-42221,46690,false
triples,5,25,3857069214,5[0-7][0-8]|0[012],11,32,95212,-5985,45877,false
ranges,5,18,1736058429,^[a-f][a-e][a-f][a-f],21,42,120694,-10798,49627,false
triples,5,26,9125784630,06|^1|[0-3](2|15|7|0[0-3]$),15,36,445041,-30939,42815,false
ranges,5,19,6087432195,[a-f][a-f][a-f][a-f]$,21,42,271496,-17110,38518,false
ranges,5,20,4925731068,[a-f][a-f][^u][a-f]$,21,42,471027,-27876,37752,false
triples,5,27,7914823056,^87|3[234]4|[0-7][234][0-7][234][0-8]|0[0-8]5|00[2-9]|[2-7][0-5][012]$,17,38,570803,-46284,51565,false
ranges,5,21,3486027915,[a-e][^ci][b-f],21,42,541789,-38002,41502,false
triples,5,28,1258360497,^([0-3])[^][012]|4[789][2-6]|([0-7])\2[3-9]?[5-9],13,34,136919,-10688,60520,true
ranges,5,22,6941372580,[a-f][a-e][a-f][a-f],21,42,151905,-11923,41486,false
ranges,5,23,1068243795,^[a-f][a-f][a-f][a-f],21,42,532653,-34721,39861,false
triples,5,29,7965023841,^[234][^3][0-4]|[0-3]7|[0-6][0-3][01][23]|02|6$,15,36,129916,-11579,61145,true
glob,5,1,4105328976,[l-s]e[a-y][e-y][a-t]|nr|[r-y][^ ]m|gic,18,39,317612,-23423,41658,false
ranges,5,24,1764028593,[a-f][a-e][a-f][a-f],21,42,252756,-20032,50893,false
glob,5,1,6370951248,^w|o[c-y][a-s][a-r]|[n-s][n-r],13,34,213411,-10016,41486,false
ranges,5,25,3857069214,[a-f][a-e][a-f][a-f],21,42,488784,-39236,46627,false
glob,5,2,9431657082,[a-e][a-h]r|fa|[op][c-y][c-s][c-r],16,37,492450,-25829,33314,false
