Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Maximo_fitness,Matches_on_left,Matches_on_right,Numero_de_comparacoes,Numero_total_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
ranges,5,7,2767986875,^[a-f]*$,^[a-f]*$,202,210,21,0,14829,500000,3293,58858,false
warmup,5,11,9696640194,foo,foo,207,210,21,0,3676,500000,1190,55044,false
anchors,5,9,3313543896,k$,k$,208,210,21,0,2657,500000,827,59326,false
backrefs,5,2,1632819610,^[a-t]+[b-r][a-o][l-v][^zuc],^[a-t]+[b-r][a-o][l-v][^cuz],112,210,16,2,489295,500000,69046,70861,false
warmup,5,12,6621545651,foo,foo,207,210,21,0,9832,500000,2440,54904,false
ranges,5,8,3141506592,^[a-f]*$,^[a-f]*$,202,210,21,0,4606,500000,1533,59755,false
anchors,5,10,8657690939,k$,k$,208,210,21,0,14016,500000,2825,62873,false
backrefs,5,3,1412034944,[^w][efg].[a-t],w[efg].[a-t],115,210,15,2,21323,500000,4040,61921,false
warmup,5,13,2492462788,foo,foo,207,210,21,0,7631,500000,1780,52816,false
ranges,5,9,3313543896,^[a-f]*$,^[a-f]*$,202,210,21,0,35206,500000,6207,60433,false
anchors,5,11,9696640194,k$,k$,208,210,21,0,101171,500000,13173,61157,false
warmup,5,14,3404588599,foo,foo,207,210,21,0,2790,500000,853,58055,false
backrefs,5,4,9724161943,[^oh[bc]]*[b-o].[m-r].,[^\[bcho]\]*[b-o].[m-r].,128,210,17,2,268752,500000,41520,79888,false
ranges,5,10,8657690939,^[a-f]*$,^[a-f]*$,202,210,21,0,68821,500000,9543,61299,false
anchors,5,12,6621545651,k$,k$,208,210,21,0,195738,500000,25454,56599,false
warmup,5,15,2330977742,foo,foo,207,210,21,0,3275,500000,1086,55219,false
backrefs,5,5,4037724866,^[^kdnw][a-t][d-t][a-t],^[^dknw][a-t][d-t][a-t],107,210,17,4,292362,500000,38860,61754,false
ranges,5,11,9696640194,^[a-f]*$,^[a-f]*$,202,210,21,0,14352,500000,2859,59205,false
anchors,5,13,2492462788,k$,k$,208,210,21,0,57104,500000,7540,54810,false
warmup,5,16,6361187489,foo,foo,207,210,21,0,3223,500000,1029,54071,false
ranges,5,12,6621545651,^[a-f]*$,^[a-f]*$,202,210,21,0,51740,500000,7493,56437,false
backrefs,5,6,8370032799,[e-h][a-u][a-t][^s][f-y],[e-h][a-u][a-t][^s][f-y],126,210,17,2,107071,500000,15207,61106,false
