Nome,Depth,i,seed,regex,regex_shrunk,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
anchors,1,28,1258360497,k$,k$,21,42,293004,46877,97505,true
aman-aplan,1,26,9125784630,^r|^t|^[h-k]|x|v|d|oo,^r|t|[h-k]|x|v|d|oo,14,35,346364,57643,102943,true
anchors,1,29,7965023841,k$,k$,21,42,364882,58174,95583,true
triples,1,15,2738495106,02|00|[4-7][34][0-7],02|00|[4-7][34][0-7],12,33,428099,86692,117944,true
aman-aplan,1,27,7914823056,[a-e]i|\B[a-r][a-e][de]|x|^[h-n][a-v]|r$,[a-e]i|\B[a-r][a-e][de]|x|^[h-n][a-v]|r$,11,32,334869,57002,118116,true
anchors,3,1,4105328976,k$,{0}k$,21,42,393513,62254,96177,true
triples,1,16,1069782534,[01]0|[34][^]2|8^1|[0-3]7|1$,[01]0|[34][^]2|8^1|[0-3]7|1$,12,33,213855,40814,117475,true
anchors,3,1,6370951248,^n|k$,^n|k$,21,42,46049,8094,98037,true
aman-aplan,1,28,1258360497,x|^t|^r|^k|v|d|[o-t]l[o-t]|ah,x|^t|r|k|v|d|[o-t]l[o-t]|ah,14,35,204304,36173,113928,true
triples,1,17,3018795246,2[^]9|1^1|[1-9][12]4|([789][2-6]|\B([0-7]))\1[3-9],2.9|1^1|[1-9][12]4|([789][2-6]|\B([0-7]))\1[3-9],14,35,392435,77302,130851,true
anchors,3,2,9431657082,k$,k$,21,42,428850,71019,96302,true
aman-aplan,1,29,7965023841,^r|^[e-k]|x|v|oo|d|t$,^r|^[e-k]|x|v|oo|d|t$,13,34,100459,17297,108287,true
triples,1,18,1736058429,[0-3]9|^3[012]|^5|06|5[1-5],[0-3]9|^3[012]|^5|06|5[1-5],13,34,71705,13204,119647,true
anchors,3,3,1874029365,k$,k$,21,42,85777,14297,102301,true
aman-aplan,3,1,4105328976,[k-x][a-o][a-t]$,[k-x][a-o][a-t]$,13,34,479860,84708,105959,true
anchors,3,4,5691784320,k$,k$,21,42,82439,13782,100271,true
triples,1,19,6087432195,^[2-7]1|4[789][2-6]|([0-7])\1[3-9],^[2-7]1|4[789][2-6]|([0-7])\1[3-9],13,34,165035,30501,119756,true
aman-aplan,3,1,6370951248,^[h-k]|v|d|\b[n-t][e-o],^[h-k]|v|d|\b[n-t][e-o],13,34,255964,44283,107459,true
anchors,3,5,8392760514,ok|R$,ok|R$,21,42,265113,44846,97208,true
triples,1,20,4925731068,5[^]^0|390|4[789][2-6]|([0-7])\1[3-9],5.^0|390|4[789][2-6]|([0-7])\1[3-9],12,33,172443,31954,112974,true
aman-aplan,3,2,9431657082,^(rx|t|[i-n]|^r)|[a-d]$x|,^(rx|t|[i-n]|r)|[a-d]$x|,14,35,454416,97974,140210,true
anchors,3,6,4612780539,b^lek|d$,b^lek|d$,21,42,284865,51549,101130,true
triples,1,21,3486027915,0^30|0[^1]0$|390|4[789][2-6]|([0-7])\1[3-9],0^30|0[^1]0$|390|4[789][2-6]|([0-7])\#[3-9],13,34,352898,70817,125037,true
aman-aplan,3,3,1874029365,x|d|v|oo|^r|^k|\bt|ah$,x|d|v|oo|^r|k|\bt|ah$,15,36,379073,65707,107818,true
anchors,3,7,8261384957,bk|e$,bk|e$,21,42,19243,3719,108365,true
triples,1,22,6941372580,52^0|00|55|6*[1-8][^18]4|[2-7][0-7][0-6]\b,52^0|00|55|6*[1-8][^18]4|[2-7][0-7][0-6]\b,14,35,518818,102600,122054,true
aman-aplan,3,4,5691784320,x|v|d|oo|^r|^t|^[h-k],x|v|d|oo|^r|t|[h-k],14,35,447972,73958,100600,true
anchors,3,8,2463075891,^Mk|t$,^Mk|t$,21,42,126925,21329,115662,true
aman-aplan,3,5,8392760514,x|^t|^[i-n]|\br|[a-d]$,x|^t|^[i-n]|\br|[a-d]$,14,35,287173,47783,103427,true
triples,1,23,1068243795,^81|206|2[34]|[01]0|5[1-7][0-8]+$,^81|206|2[34]|[01]0|5[1-7][0-8]+$,14,35,258356,49643,122522,true
anchors,3,9,9135874206,k$,k$,21,42,263762,42721,96443,true
